_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a4a1349e5c153ca6957'},58,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/Motor.RbkOut#Value,#2 Instant Cement Delivery ,#2 搅拌机水泥添加速度(实际值),HIS-210FDM02,Cement Conveyor Belt,水泥传送带,METSO,normal,0,200,t/h,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a4a1349e5c153ca6958'},59,SOUTHEASTORE_PRJ_OS::OI-311TH01-01/MonAnalog.PV#Value,#1 Thickener Rake Torque-1,#1浓密机耙架扭矩值-1,OI-311TH01-01,Rake,耙架,METSO,normal,20,60,-99999999,2,%,{'$date': '2019-11-25T12:24:40Z'},1,0
{'$oid': '604c8a4a1349e5c153ca6959'},60,SOUTHEASTORE_PRJ_OS::OI-311TH01-02/MonAnalog.PV#Value,#1 Thickener Rake Torque-2,#1浓密机耙架扭矩值-2,OI-311TH01-02,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,-99999999,2
{'$oid': '604c8a4a1349e5c153ca695a'},61,SOUTHEASTORE_PRJ_OS::OI-311TH01-03/MonAnalog.PV#Value,#1 Thickener Rake Torque-3,#1浓密机耙架扭矩值-3,OI-311TH01-03,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,-99999999,2
{'$oid': '604c8a4a1349e5c153ca695b'},62,SOUTHEASTORE_PRJ_OS::OI-311TH01-04/MonAnalog.PV#Value,#1 Thickener Rake Torque-4,#1浓密机耙架扭矩值-4,OI-311TH01-04,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},1,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695c'},63,SOUTHEASTORE_PRJ_OS::OI-311TH02-01/MonAnalog.PV#Value,#2 Thickener Rake Torque-1,#2浓密机耙架扭矩值-1,OI-311TH02-01,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695d'},64,SOUTHEASTORE_PRJ_OS::OI-311TH02-02/MonAnalog.PV#Value,#2 Thickener Rake Torque-2,#2浓密机耙架扭矩值-2,OI-311TH02-02,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695e'},65,SOUTHEASTORE_PRJ_OS::OI-311TH02-03/MonAnalog.PV#Value,#2 Thickener Rake Torque-3,#2浓密机耙架扭矩值-3,OI-311TH02-03,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca695f'},66,SOUTHEASTORE_PRJ_OS::OI-311TH02-04/MonAnalog.PV#Value,#2 Thickener Rake Torque-4,#2浓密机耙架扭矩值-4,OI-311TH02-04,Rake,耙架,METSO,normal,20,60,%,{'$date': '2019-11-25T12:24:40Z'},2,0,2,-99999999
{'$oid': '604c8a4b1349e5c153ca6960'},67,SOUTHEASTORE_PRJ_OS::PI-311TH01/MonAnalog.PV#Value,#1 Thickener Mud Pressure,#1浓密机泥层压力,PI-311TH01,Pressure Indicator,压力计,METSO,normal,-1,90,Mpa,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
